departement;departement_name;dienststelle;dienststelle_name;spezialfinanzierung;spezialfinanzierung_name;konto;bezeichnung;budget_2027;budget_2026;rechnung_2025;abweichung;prozent;kommentar;seite
10;Kantonsrat;1000;Kantonsrat;;;3000.00;Löhne Behörden, Richter und Richterinnen;324800.0;785700.0;364583.9;-460900.0;-58.66;Neue Kontierung ab Rechnung 2025: Sitzungsgelder Kantonsrat auf Konto 1000.3000.00/Sitzungsgelder Spezialkommissionen und ständige Kommissionen sowie Grundpauschalen Kantonsrat und Grundpauschlaen ständige Kommissionen auf Konto 1000.3000.10.;111
10;Kantonsrat;1000;Kantonsrat;;;3000.10;Sitzungsgelder Kommissionen;669900.0;209000.0;666983.7;460900.0;220.53;Neue Kontierung ab Rechnung 2025: Sitzungsgelder Kantonsrat auf Konto 1000.3000.00/Sitzungsgelder Spezialkommissionen und ständige Kommissionen sowie Grundpauschalen Kantonsrat und Grundpauschalen ständige Kommissionen auf Konto 1000.3000.10.;111
10;Kantonsrat;1000;Kantonsrat;;;3010.00;Löhne des Verwaltungs- und Betriebspersonals;378500.0;389300.0;327560.6;-10800.0;-2.77;;111
10;Kantonsrat;1000;Kantonsrat;;;3010.95;Rückerstattungen Taggelder UV, EO, MSE, MV, IV für Verwaltungs- und Betriebspersonal;;;-16381.45;;;;111
10;Kantonsrat;1000;Kantonsrat;;;3050.00;AG-Beiträge AHV, IV, EO, ALV, Verwaltungskosten;89300.0;90000.0;51681.45;-700.0;-0.78;;111
10;Kantonsrat;1000;Kantonsrat;;;3052.00;AG-Beiträge an Pensionskassen;42000.0;52000.0;41764.2;-10000.0;-19.23;;111
10;Kantonsrat;1000;Kantonsrat;;;3053.00;AG-Beiträge an Unfallversicherungen;8400.0;7500.0;1619.0;900.0;12.0;;111
10;Kantonsrat;1000;Kantonsrat;;;3054.00;AG-Beiträge an Familienzulagekassen;16500.0;18000.0;10357.7;-1500.0;-8.33;;111
10;Kantonsrat;1000;Kantonsrat;;;3059.10;AG-Beiträge Sozialfonds;1100.0;1100.0;629.2;;;;111
10;Kantonsrat;1000;Kantonsrat;;;3090.00;Aus- und Weiterbildung des eigenen Personals;6000.0;6000.0;100.0;;;;111
10;Kantonsrat;1000;Kantonsrat;;;3099.00;Übriger Personalaufwand;7000.0;13000.0;23606.0;-6000.0;-46.15;;111
10;Kantonsrat;1000;Kantonsrat;;;3100.00;Büromaterial;2500.0;2000.0;2486.92;500.0;25.0;;111
