departement;departement_name;dienststelle;dienststelle_name;spezialfinanzierung;spezialfinanzierung_name;konto;konto_name;projekt;projekt_name;budget_2027_ausgaben;budget_2027_einnahmen;budget_2026_ausgaben;budget_2026_einnahmen;rechnung_2025_ausgaben;rechnung_2025_einnahmen;seite
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.10;Kantonsstrassen und kant. Radwegnetz;IPR0271;VK Ausbau Lichtsignalanlage Badische Bahnhofstrasse Neuhausen a. Rhf.;;;250000.0;;44055.3;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.10;Kantonsstrassen und kant. Radwegnetz;IPR0279;VK Verkehrsleitsystem Rheinfall;150000.0;;310000.0;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.10;Kantonsstrassen und kant. Radwegnetz;IPR0284;VK KaSt Instandsetzungsinvestitionen 2026;1200000.0;;3970000.0;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.10;Kantonsstrassen und kant. Radwegnetz;IPR0288;VK Ersatz Zentralrechner Verkehrslenkung Kanton Schaffhausen;125000.0;;450000.0;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.10;Kantonsstrassen und kant. Radwegnetz;IPR0310;VK KaSt Instandsetzungsinvestitionen 2027;3330000.0;;;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.20;Kunstbauten;IPR0203;VK Instandsetzung Stützmauer Katzensteig;;;;;1593.6;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.20;Kunstbauten;IPR0237;VK Instandsetzungen Kunstbauten 2024;;;;;139709.1;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.20;Kunstbauten;IPR0268;VK KuBa Instandsetzungsinvestitionen 2025;730000.0;;;;53997.3;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.20;Kunstbauten;IPR0285;VK KuBa Instandsetzungsinvestitionen 2026;;;250000.0;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.20;Kunstbauten;IPR0321;VK KuBa Instandsetzungsinvestitionen 2027;1190000.0;;;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0105;VK Massnahme 42: Veloführung Knoten Rheinhof Neuhausen a. Rhf.;200000.0;;1200000.0;;293941.93;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0202;VK Massnahme 15 APII: Aufwertung Klettgauerstrasse/Rhytech-Areal;400000.0;;2430000.0;;2041618.39;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0248;VK A-Massnahme AP IV: Aufwertung Kantonsstrasse H14 Beringerfeld in Beringen;500000.0;;1125000.0;;1821434.41;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0249;VK A-Massnahme AP IV: Aufwertung Kantonsstrasse H14 Löhningen;1200000.0;;2000000.0;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0282;VK Agglomerationsprogramm Radweg Hofen;585000.0;;780000.0;;;;264
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0320;VK Agglomerationsprogramm Aufwertung Neuhausen Nord Knoten Engestrasse;140000.0;;;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5010.40;Agglo.programme - Eigene;IPR0324;VK Agglomerationsprogramm Aufwertung Neuhausen Nord Knoten Kreuzstrasse;290000.0;;;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5040.10;Energiemassnahmen und Objektschutz Bestandesbauten Werkhof;IPR0257;VK Immobilien Umbau Einstellhalle;;;2500000.0;;3570.45;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5040.10;Energiemassnahmen und Objektschutz Bestandesbauten Werkhof;IPR0264;VK Arealnetz und E-Mobilität;100000.0;;100000.0;;372543.06;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5040.10;Energiemassnahmen und Objektschutz Bestandesbauten Werkhof;IPR0278;VK Ersatz Gasheizung Werkhof Schweizersbild;200000.0;;400000.0;;10805.95;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0238;VK Ersatzbeschaffung Bucher Grosskehrmaschine;;;;;506989.0;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0269;VK Mobilien Ersatz Bucher;;;;;258000.18;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0269-1;Zusatzkredit VK Mobilien Ersatz Bucher;;;;;5700.0;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0270;VK Ersatz Grosskehrmaschine MANValAir;;;;;420199.19;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0286;VK Ersatz 2-Achs-Lastwagen MAN;;;360000.0;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0322;VK Mobilien Ersatz Aebi Schmidt Swingo;250000.0;;;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5060.00;Mobilien;IPR0323;VK Mobilien Ersatz Kommunalfahrzeug;350000.0;;;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5620.00;Gemeinden und Gemeindezweckverbände;IPR0112;VK Massnahme 22: Rheinuferstrasse/Rheinzugang SH;;;;;-112145.0;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5620.00;Gemeinden und Gemeindezweckverbände;IPR0207;VK Massnahme 20, Teil 3, API: Ausbau Busangebot VBSH;;;;;1000000.0;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5620.00;Gemeinden und Gemeindezweckverbände;IPR0262;VK Agglomerationsprogramm Beiträge Schweizersbildstrasse SH;820000.0;;800000.0;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5620.00;Gemeinden und Gemeindezweckverbände;IPR0263;VK Agglo.programm Beiträge Velostation Bahnhof SH Süd;;;200000.0;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5620.00;Gemeinden und Gemeindezweckverbände;IPR0283;VK Agglomerationsprogramm Beiträge an Adlerunterführung Stadt SH;300000.0;;2500000.0;;;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5710.00;Durchlaufende Invest.beiträge Kantone und Konkordate;IPR0183;Durchlaufende Investitionsbeiträge Tiefbau SH;;;;;109760.0;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5720.00;Durchlaufende Invest.beiträge Gemeinden und Gemeindezweckverbände;IPR0183;Durchlaufende Investitionsbeiträge Tiefbau SH;;;;;653934.0;;265
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;5740.00;Durchlaufende Invest.beiträge Öffentliche Unternehmungen;IPR0183;Durchlaufende Investitionsbeiträge Tiefbau SH;;;;;617000.0;;266
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;6300.00;Bund;IPR0168-1;VK Ersatz mechanische und elektrische Werkstätten Schweizersbild Zusatzkredit;;;;;;42495.0;266
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;6300.00;Bund;IPR0257;VK Immobilien Umbau Einstellhalle;;;;500000.0;;;266
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;6300.40;Invest.beiträge Bund an Agglo.programme - Eigene;IPR0105;VK Massnahme 42: Veloführung Knoten Rheinhof Neuhausen a. Rhf.;;110000.0;;440000.0;;;266
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;6300.40;Invest.beiträge Bund an Agglo.programme - Eigene;IPR0202;VK Massnahme 15 APII: Aufwertung Klettgauerstrasse/Rhytech-Areal;;;;525000.0;;567000.0;266
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;6300.40;Invest.beiträge Bund an Agglo.programme - Eigene;IPR0248;VK A-Massnahme AP IV: Aufwertung Kantonsstrasse H14 Beringerfeld in Beringen;;625000.0;;625000.0;;;266
23;Baudepartement;2320;Verwaltung und Projektierung TSH;;;6300.40;Invest.beiträge Bund an Agglo.programme - Eigene;IPR0249;VK A-Massnahme AP IV: Aufwertung Kantonsstrasse H14 Löhningen;;;;840000.0;;;266
